company,year,quarter,metric,sub-metric,value
SMIC,2019,2,inv,,647.2
SMIC,2019,3,inv,,645.8
SMIC,2019,4,inv,,628.9
SMIC,2020,1,inv,,616.7
SMIC,2020,2,inv,,669.2
SMIC,2020,3,inv,,647.6
SMIC,2020,4,inv,,798.8
SMIC,2021,1,inv,,889.8
SMIC,2021,2,inv,,973.0
SMIC,2021,3,inv,,1105.4
SMIC,2021,4,inv,,1193.8
SMIC,`,1,capex,,84.3
SMIC,2003,2,capex,,84.3
SMIC,2003,3,capex,,142.2
SMIC,2003,4,capex,,142.2
SMIC,2004,1,capex,,226.0
SMIC,2004,2,capex,,351.8
SMIC,2004,3,capex,,617.0
SMIC,2004,4,capex,,643.9
SMIC,2005,1,capex,,248.5
SMIC,2005,2,capex,,227.2
SMIC,2005,3,capex,,188.2
SMIC,2005,4,capex,,208.7
SMIC,2006,1,capex,,197.5
SMIC,2006,2,capex,,164.9
SMIC,2006,3,capex,,241.5
SMIC,2006,4,capex,,278.7
SMIC,2007,1,capex,,157.7
SMIC,2007,2,capex,,160.0
SMIC,2007,3,capex,,161.1
SMIC,2007,4,capex,,238.4
SMIC,2008,1,capex,,114.2
SMIC,2008,2,capex,,204.3
SMIC,2008,3,capex,,220.9
SMIC,2008,4,capex,,129.6
SMIC,2009,1,capex,,72.0
SMIC,2009,2,capex,,44.8
SMIC,2009,3,capex,,51.4
SMIC,2009,4,capex,,49.1
SMIC,2010,1,capex,,73.0
SMIC,2010,2,capex,,92.0
SMIC,2010,3,capex,,157.5
SMIC,2010,4,capex,,275.0
SMIC,2011,1,capex,,392.6
SMIC,2011,2,capex,,284.2
SMIC,2011,3,capex,,183.3
SMIC,2011,4,capex,,70.8
SMIC,2012,1,capex,,116.4
SMIC,2012,2,capex,,73.0
SMIC,2012,3,capex,,117.4
SMIC,2012,4,capex,,84.8
SMIC,2013,1,capex,,131.5
SMIC,2013,2,capex,,179.6
SMIC,2013,3,capex,,255.6
SMIC,2013,4,capex,,83.5
SMIC,2014,1,capex,,118.6
SMIC,2014,2,capex,,108.7
SMIC,2014,3,capex,,212.3
SMIC,2014,4,capex,,213.6
SMIC,2015,1,capex,,224.4
SMIC,2015,2,capex,,235.5
SMIC,2015,3,capex,,289.0
SMIC,2015,4,capex,,481.8
SMIC,2016,1,capex,,578.2
SMIC,2016,2,capex,,933.1
SMIC,2016,3,capex,,756.3
SMIC,2016,4,capex,,489.6
SMIC,2017,1,capex,,613.5
SMIC,2017,2,capex,,626.3
SMIC,2017,3,capex,,691.2
SMIC,2017,4,capex,,356.3
SMIC,2018,1,capex,,366.3
SMIC,2018,2,capex,,539.1
SMIC,2018,3,capex,,477.8
SMIC,2018,4,capex,,425.1
SMIC,2019,1,capex,,329.0
SMIC,2019,2,capex,,824.1
SMIC,2019,3,capex,,387.7
SMIC,2019,4,capex,,328.9
SMIC,2020,1,capex,,665.0
SMIC,2020,2,capex,,731.9
SMIC,2020,3,capex,,1766.1
SMIC,2020,4,capex,,2111.7
SMIC,2021,1,capex,,690.0
SMIC,2021,2,capex,,675.4
SMIC,2021,3,capex,,988.0
SMIC,2021,4,capex,,1766.8
TSMC,2001,1,rev,,1018.5020117610648
TSMC,2001,2,rev,,1141.304347826087
TSMC,2001,3,rev,,864.3079136690648
TSMC,2001,4,rev,,870.5710144927536
TSMC,2003,4,rev,,1702.917771883289
TSMC,2004,4,rev,,1909.851995814023
TSMC,2005,1,rev,,1791.0537092455504
TSMC,2005,2,rev,,1919.9327784891166
TSMC,2005,3,rev,,2212.14308126765
TSMC,2005,4,rev,,2361.3525274201243
TSMC,2006,1,rev,,2434.257840592852
TSMC,2006,2,rev,,2573.834822128193
TSMC,2006,3,rev,,2518.652659866854
TSMC,2006,4,rev,,2259.632253202713
TSMC,2007,1,rev,,1970.947854344459
TSMC,2007,2,rev,,2248.7063272901905
TSMC,2007,3,rev,,2711.313968728093
TSMC,2007,4,rev,,2897.3545300200644
TSMC,2008,1,rev,,2719.7264106948546
TSMC,2008,2,rev,,2897.5179170228153
TSMC,2008,3,rev,,3035.44121967941
TSMC,2008,4,rev,,1957.3260572987722
TSMC,2009,1,rev,,1170.3733333333332
TSMC,2009,2,rev,,2243.0618104881364
TSMC,2009,3,rev,,2741.115513562938
TSMC,2009,4,rev,,2821.087455965691
TSMC,2010,1,rev,,2883.988737681839
TSMC,2010,2,rev,,3350.7517956903434
TSMC,2010,3,rev,,3513.1987480438183
TSMC,2010,4,rev,,3599.4183006535945
TSMC,2011,1,rev,,3629.9517740268684
TSMC,2011,2,rev,,3854.4959888385065
TSMC,2011,3,rev,,3688.3824038794596
TSMC,2011,4,rev,,3498.533244236552
TSMC,2012,1,rev,,3566.2603410433903
TSMC,2012,2,rev,,4400.490902849297
TSMC,2012,3,rev,,4726.253381876481
TSMC,2012,4,rev,,4501.537671232877
TSMC,2013,1,rev,,4495.597697257027
TSMC,2013,2,rev,,5288.94279704146
TSMC,2013,3,rev,,5421.944305486077
TSMC,2013,4,rev,,4956.012916383412
TSMC,2014,1,rev,,4888.364116094987
TSMC,2014,2,rev,,6070.331674958541
TSMC,2014,3,rev,,6954.645863135833
TSMC,2014,4,rev,,7312.556687479461
TSMC,2015,1,rev,,6997.607942010715
TSMC,2015,2,rev,,6711.525645213982
TSMC,2015,3,rev,,6715.912394918147
TSMC,2015,4,rev,,6274.273206523415
TSMC,2016,1,rev,,6077.573694113431
TSMC,2016,2,rev,,6870.154246422598
TSMC,2016,3,rev,,8184.232195612546
TSMC,2016,4,rev,,8320.18275851128
TSMC,2017,1,rev,,7506.398819074514
TSMC,2017,2,rev,,7091.395032662401
TSMC,2017,3,rev,,8348.200271532169
TSMC,2017,4,rev,,9205.39249825888
TSMC,2018,1,rev,,8507.208257604334
TSMC,2018,2,rev,,7874.853998582182
TSMC,2018,3,rev,,8517.007982203611
TSMC,2018,4,rev,,9367.974912711756
TSMC,2019,1,rev,,7126.710766423358
TSMC,2019,2,rev,,7801.071440132068
TSMC,2019,3,rev,,9406.349104448867
TSMC,2019,4,rev,,10408.724325743158
TSMC,2020,1,rev,,10235.194094773611
TSMC,2020,2,rev,,10434.52444922085
TSMC,2020,3,rev,,12149.374510004433
TSMC,2020,4,rev,,12648.09333893087
TSMC,2021,1,rev,,12942.759187171887
TSMC,2021,2,rev,,13364.40063204769
TSMC,2021,3,rev,,14846.774078052274
TSMC,2021,4,rev,,15749.741211990511
TSMC,2001,1,inv,,247.7189724543485
TSMC,2001,2,inv,,243.83399209486166
TSMC,2001,3,inv,,282.82877697841724
TSMC,2001,4,inv,,284.8782608695652
TSMC,2003,4,inv,,357.65694076038903
TSMC,2004,4,inv,,396.69606817162503
TSMC,2005,1,inv,,462.6870373287132
TSMC,2005,2,inv,,485.2368758002561
TSMC,2005,3,inv,,509.5387511766551
TSMC,2005,4,inv,,528.3828087744397
TSMC,2006,1,inv,,575.6230261717894
TSMC,2006,2,inv,,628.465757718226
TSMC,2006,3,inv,,621.0834911134184
TSMC,2006,4,inv,,645.9894498869631
TSMC,2007,1,inv,,676.0105688340875
TSMC,2007,2,inv,,721.7343018369552
TSMC,2007,3,inv,,747.7277576274804
TSMC,2007,4,inv,,736.60441426146
TSMC,2008,1,inv,,680.5409606715374
TSMC,2008,2,inv,,767.9268853968046
TSMC,2008,3,inv,,712.2588227612549
TSMC,2008,4,inv,,451.01106563589514
TSMC,2009,1,inv,,437.78370370370374
TSMC,2009,2,inv,,573.4894967507935
TSMC,2009,3,inv,,584.4590064004876
TSMC,2009,4,inv,,640.6432838106907
TSMC,2010,1,inv,,709.9702799937431
TSMC,2010,2,inv,,791.6967278531525
TSMC,2010,3,inv,,834.5352112676057
TSMC,2010,4,inv,,928.2973856209151
TSMC,2011,1,inv,,1094.9776093696175
TSMC,2011,2,inv,,1099.518660620858
TSMC,2011,3,inv,,889.9272601316245
TSMC,2011,4,inv,,829.9565653190778
TSMC,2012,1,inv,,937.3358095559684
TSMC,2012,2,inv,,1056.6598008925507
TSMC,2012,3,inv,,1110.5581348742444
TSMC,2012,4,inv,,1295.5650684931506
TSMC,2013,1,inv,,1281.1886217406027
TSMC,2013,2,inv,,1310.1343557033317
TSMC,2013,3,inv,,1231.1655827913958
TSMC,2013,4,inv,,1274.4697484704282
TSMC,2014,1,inv,,1434.0798153034302
TSMC,2014,2,inv,,1690.0265339966834
TSMC,2014,3,inv,,2173.625203765927
TSMC,2014,4,inv,,2180.0197173841602
TSMC,2015,1,inv,,2035.9186889379134
TSMC,2015,2,inv,,2165.2597190460638
TSMC,2015,3,inv,,2056.3238733329117
TSMC,2015,4,inv,,2067.1547923667417
TSMC,2016,1,inv,,1709.592927754383
TSMC,2016,2,inv,,1880.2515021990955
TSMC,2016,3,inv,,1693.4471054120309
TSMC,2016,4,inv,,1544.6330551765714
TSMC,2017,1,inv,,1617.0014761568577
TSMC,2017,2,inv,,2023.0957986537123
TSMC,2017,3,inv,,2446.8989039372163
TSMC,2017,4,inv,,2450.1940105462145
TSMC,2018,1,inv,,2922.2557525462084
TSMC,2018,2,inv,,3343.081389460892
TSMC,2018,3,inv,,3445.976184244962
TSMC,2018,4,inv,,3337.352903142377
TSMC,2019,1,inv,,3541.5276329509907
TSMC,2019,2,inv,,3503.4441459230243
TSMC,2019,3,inv,,3103.4762791294856
TSMC,2019,4,inv,,2722.6589671238266
TSMC,2020,1,inv,,2579.5096553087724
TSMC,2020,2,inv,,2881.115663621709
TSMC,2020,3,inv,,3732.811807614957
TSMC,2020,4,inv,,4805.254687937308
TSMC,2021,1,inv,,5520.074283061319
TSMC,2021,2,inv,,6120.760611937083
TSMC,2021,3,inv,,6524.661654135338
TSMC,2021,4,inv,,6940.633311767666
TSMC,2001,1,capex,,600.2259362426493
TSMC,2001,2,capex,,589.6412283368804
TSMC,2001,3,capex,,452.0115107913669
TSMC,2001,4,capex,,455.2869565217391
TSMC,2003,4,capex,,377.2472737989979
TSMC,2004,4,capex,,612.9466287935417
TSMC,2005,1,capex,,1308.2375177193258
TSMC,2005,2,capex,,455.8066581306018
TSMC,2005,3,capex,,329.1810480075306
TSMC,2005,4,capex,,405.88638531235097
TSMC,2006,1,capex,,359.90119133235356
TSMC,2006,2,capex,,670.4560413728256
TSMC,2006,3,capex,,862.8901239846087
TSMC,2006,4,capex,,529.923134890731
TSMC,2007,1,capex,,423.92565371883256
TSMC,2007,2,capex,,760.736583023172
TSMC,2007,3,capex,,759.4531988173977
TSMC,2007,4,capex,,610.6158357771261
TSMC,2008,1,capex,,476.0795896160423
TSMC,2008,2,capex,,732.2506410677888
TSMC,2008,3,capex,,338.81688485521204
TSMC,2008,4,capex,,341.2945278156738
TSMC,2009,1,capex,,166.42962962962963
TSMC,2009,2,capex,,224.12875925646063
TSMC,2009,3,capex,,976.4736360865588
TSMC,2009,4,capex,,1308.4545872262213
TSMC,2010,1,capex,,1443.322383857344
TSMC,2010,2,capex,,1683.0550678371908
TSMC,2010,3,capex,,1319.2738654147106
TSMC,2010,4,capex,,1501.173202614379
TSMC,2011,1,capex,,2799.255942128832
TSMC,2011,2,capex,,2263.010115102895
TSMC,2011,3,capex,,1317.9147904399028
TSMC,2011,4,capex,,994.7043100567992
TSMC,2012,1,capex,,1640.067533344589
TSMC,2012,2,capex,,2041.4521112255406
TSMC,2012,3,capex,,2616.440094859548
TSMC,2012,4,capex,,2046.7705479452054
TSMC,2013,1,capex,,2723.2814087368774
TSMC,2013,2,capex,,2659.9850715885186
TSMC,2013,3,capex,,1828.2841420710356
TSMC,2013,4,capex,,2513.759347382733
TSMC,2014,1,capex,,3789.7526385224273
TSMC,2014,2,capex,,2432.106135986733
TSMC,2014,3,capex,,1592.9239162979472
TSMC,2014,4,capex,,1722.806441012159
TSMC,2015,1,capex,,1540.3624330286793
TSMC,2015,2,capex,,1758.0529238810846
TSMC,2015,3,capex,,2221.8475444030087
TSMC,2015,4,capex,,2605.7742701236243
TSMC,2016,1,capex,,1139.1273183406506
TSMC,2016,2,capex,,2279.1829275847113
TSMC,2016,3,capex,,3261.5343516248663
TSMC,2016,4,capex,,3570.8601707015264
TSMC,2017,1,capex,,3289.4422694307173
TSMC,2017,2,capex,,3488.029313260603
TSMC,2017,3,capex,,2043.5809132752738
TSMC,2017,4,capex,,2028.9888236659704
TSMC,2018,1,capex,,2463.811254758067
TSMC,2018,2,capex,,2014.6912871755053
TSMC,2018,3,capex,,2288.294948966239
TSMC,2018,4,capex,,3688.894995473943
TSMC,2019,1,capex,,2474.6513295099066
TSMC,2019,2,capex,,3766.3127569352278
TSMC,2019,3,capex,,3149.444694100276
TSMC,2019,4,capex,,5578.105518734825
TSMC,2020,1,capex,,6345.468925064259
TSMC,2020,2,capex,,4255.054406233208
TSMC,2020,3,capex,,3384.9950574360028
TSMC,2020,4,capex,,3102.260005597537
TSMC,2021,1,capex,,8857.851505303383
TSMC,2021,2,capex,,5996.232852115205
TSMC,2021,3,capex,,6754.024346580737
TSMC,2021,4,capex,,8466.537272661923
